Cluster,Season,elevation_percentile_5,elevation_percentile_95,Distance_to_Nile_km_percentile_5,Distance_to_Nile_km_percentile_95,Distance_to_Nearest_Coast_km_percentile_5,Distance_to_Nearest_Coast_km_percentile_95,ALLSKY_SFC_SW_DWN_percentile_5,ALLSKY_SFC_SW_DWN_percentile_95,PSH_percentile_5,PSH_percentile_95,GWETROOT_percentile_5,GWETROOT_percentile_95,GWETTOP_percentile_5,GWETTOP_percentile_95,PRECTOTCORR_percentile_5,PRECTOTCORR_percentile_95,RH2M_percentile_5,RH2M_percentile_95,T2M_percentile_5,T2M_percentile_95,TSOIL1_percentile_5,TSOIL1_percentile_95,TSOIL4_percentile_5,TSOIL4_percentile_95,WS2M_percentile_5,WS2M_percentile_95
0,Autumn,114.0,774.0,30.07476442038336,581.02029751497,99.67955267614671,884.0355323779513,15.4,25.99,0.37,0.62,0.09,0.36,0.04,0.13,0.0,0.01,21.76,59.66,15.07,30.317999999999994,16.242,31.54,22.65,29.77,1.56,4.68
0,Spring,114.0,774.0,30.07476442038336,581.02029751497,99.67955267614671,884.0355323779513,20.62,30.14,0.5,0.72,0.09,0.37,0.05,0.24,0.0,0.01,11.82,51.080499999999994,12.42,30.55,13.75,30.63,15.38,23.74,1.61,5.12
0,Summer,114.0,774.0,30.07476442038336,581.02029751497,99.67955267614671,884.0355323779513,26.04,30.52,0.62,0.73,0.09,0.36,0.04,0.09,0.0,0.0,16.86,35.76099999999998,27.11,33.49,29.02,34.59,24.15,29.78,2.03,4.85
0,Winter,114.0,774.0,30.07476442038336,581.02029751497,99.67955267614671,884.0355323779513,12.71,21.967999999999993,0.3,0.53,0.09,0.37,0.05,0.27,0.0,0.19,26.17,72.4,7.372000000000001,16.89,8.47,16.57,14.67,22.12,1.31,4.41
1,Autumn,0.0,216.0,151.24277484066616,559.4710398965398,0.6763235914758254,76.93228601721279,11.222000000000001,24.43,0.27,0.59,0.32,0.59,0.09,0.51,0.0,1.4179999999999973,50.126,75.83,17.45,28.16,17.304000000000002,32.68,22.581999999999997,30.98,1.69,5.22
1,Spring,0.0,216.0,151.24277484066616,559.4710398965398,0.6763235914758254,76.93228601721279,14.619,29.790499999999998,0.35,0.7104999999999972,0.36,0.64,0.22,0.66,0.0,1.943499999999981,42.76650000000001,77.86,12.3995,25.09,12.74,28.32199999999999,14.99,22.8605,1.92,6.29
1,Summer,0.0,216.0,151.24277484066616,559.4710398965398,0.6763235914758254,76.93228601721279,24.51,30.48,0.59,0.73,0.32,0.58,0.09,0.36,0.0,0.0,48.2265,72.76050000000001,23.1995,29.8905,25.77,35.070499999999996,21.2195,30.72,2.53,5.29
1,Winter,0.0,216.0,151.24277484066616,559.4710398965398,0.6763235914758254,76.93228601721279,7.52,17.773999999999997,0.18,0.43,0.34,0.66,0.26,0.69,0.0,6.01,57.576,82.52399999999997,9.988,18.682,9.88,18.275999999999993,14.99,24.061999999999998,1.54,7.173999999999997
2,Autumn,114.0,512.0,17.11861705633435,333.90149897148035,46.11802933493609,709.62264793751,16.35,25.61,0.39,0.61,0.2,0.33,0.04,0.08,0.0,0.0,17.0,51.22,18.172,34.67799999999999,19.74,36.92,26.16,34.94,1.78,5.05
2,Spring,114.0,512.0,17.11861705633435,333.90149897148035,46.11802933493609,709.62264793751,21.31,29.79,0.51,0.71,0.2,0.34,0.04,0.12,0.0,0.0,10.39,39.7005,15.9,33.640499999999996,17.5,34.71,18.44,28.58,1.71,5.220499999999992
2,Summer,114.0,512.0,17.11861705633435,333.90149897148035,46.11802933493609,709.62264793751,24.66,29.93,0.59,0.72,0.2,0.33,0.04,0.07,0.0,0.0,13.2,27.140499999999992,30.39,36.87,32.09,39.040499999999994,27.45,34.5,2.12,5.21
2,Winter,114.0,512.0,17.11861705633435,333.90149897148035,46.11802933493609,709.62264793751,13.858,22.69,0.33,0.54,0.2,0.34,0.04,0.18,0.0,0.03,24.844000000000005,62.2,9.98,21.32,11.5,22.3,17.52,27.49,1.54,4.43
3,Autumn,3.0,832.0,48.764887349241135,527.9595613923993,37.134177447158415,290.9415496042903,13.11,25.1,0.31,0.6,0.21,0.46,0.07,0.35,0.0,0.54,33.525000000000006,72.31299999999999,15.667,29.71,16.55,31.522999999999993,22.64,29.61,1.47,4.48
3,Spring,3.0,832.0,48.764887349241135,527.9595613923993,37.134177447158415,290.9415496042903,17.549000000000003,30.18,0.42,0.72,0.23,0.49,0.1,0.45,0.0,0.68,21.82,69.22049999999999,11.3,28.85,12.6995,29.38,14.829500000000001,22.760499999999993,1.69,5.15
3,Summer,3.0,832.0,48.764887349241135,527.9595613923993,37.134177447158415,290.9415496042903,25.6,30.78,0.61,0.74,0.21,0.45,0.07,0.15,0.0,0.0,26.31,57.52,24.779500000000002,32.48,27.31,34.21,22.49,29.43,2.15,4.73
3,Winter,3.0,832.0,48.764887349241135,527.9595613923993,37.134177447158415,290.9415496042903,9.73,19.72,0.23,0.47,0.22,0.49,0.17,0.48,0.0,2.45,40.980000000000004,80.08,7.925,16.93,8.715,16.89,14.5,22.27,1.25,5.07
